"ID";"Leeftijd";"Geboorteland";"RegioS";"Perioden";"MannenEnVrouwen_1"
"1992";"10000";"T001175";"GM0363";"1996JJ00";"  718119"
"1993";"10000";"T001175";"GM0363";"1997JJ00";"  715148"
"1994";"10000";"T001175";"GM0363";"1998JJ00";"  718151"
"1995";"10000";"T001175";"GM0363";"1999JJ00";"  727053"
"1996";"10000";"T001175";"GM0363";"2000JJ00";"  731288"
"1997";"10000";"T001175";"GM0363";"2001JJ00";"  734594"
"1998";"10000";"T001175";"GM0363";"2002JJ00";"  735526"
"1999";"10000";"T001175";"GM0363";"2003JJ00";"  736562"
"2000";"10000";"T001175";"GM0363";"2004JJ00";"  739104"
"2001";"10000";"T001175";"GM0363";"2005JJ00";"  742783"
"2002";"10000";"T001175";"GM0363";"2006JJ00";"  743079"
"2003";"10000";"T001175";"GM0363";"2007JJ00";"  742884"
"2004";"10000";"T001175";"GM0363";"2008JJ00";"  747093"
"2005";"10000";"T001175";"GM0363";"2009JJ00";"  755605"
"2006";"10000";"T001175";"GM0363";"2010JJ00";"  767457"
"2007";"10000";"T001175";"GM0363";"2011JJ00";"  779808"
"2008";"10000";"T001175";"GM0363";"2012JJ00";"  790110"
"2009";"10000";"T001175";"GM0363";"2013JJ00";"  799278"
"2010";"10000";"T001175";"GM0363";"2014JJ00";"  810937"
"2011";"10000";"T001175";"GM0363";"2015JJ00";"  821752"
"2012";"10000";"T001175";"GM0363";"2016JJ00";"  833624"
"2013";"10000";"T001175";"GM0363";"2017JJ00";"  844947"
"2014";"10000";"T001175";"GM0363";"2018JJ00";"  854047"
"2015";"10000";"T001175";"GM0363";"2019JJ00";"  862965"
"20448";"10000";"G008806";"GM0363";"1996JJ00";"  191695"
"20449";"10000";"G008806";"GM0363";"1997JJ00";"  188747"
"20450";"10000";"G008806";"GM0363";"1998JJ00";"  192560"
"20451";"10000";"G008806";"GM0363";"1999JJ00";"  198366"
"20452";"10000";"G008806";"GM0363";"2000JJ00";"  202292"
"20453";"10000";"G008806";"GM0363";"2001JJ00";"  207313"
"20454";"10000";"G008806";"GM0363";"2002JJ00";"  210819"
"20455";"10000";"G008806";"GM0363";"2003JJ00";"  213742"
"20456";"10000";"G008806";"GM0363";"2004JJ00";"  216076"
"20457";"10000";"G008806";"GM0363";"2005JJ00";"  218189"
"20458";"10000";"G008806";"GM0363";"2006JJ00";"  216680"
"20459";"10000";"G008806";"GM0363";"2007JJ00";"  214873"
"20460";"10000";"G008806";"GM0363";"2008JJ00";"  216621"
"20461";"10000";"G008806";"GM0363";"2009JJ00";"  221001"
"20462";"10000";"G008806";"GM0363";"2010JJ00";"  225849"
"20463";"10000";"G008806";"GM0363";"2011JJ00";"  230465"
"20464";"10000";"G008806";"GM0363";"2012JJ00";"  234327"
"20465";"10000";"G008806";"GM0363";"2013JJ00";"  236121"
"20466";"10000";"G008806";"GM0363";"2014JJ00";"  238786"
"20467";"10000";"G008806";"GM0363";"2015JJ00";"  244102"
"20468";"10000";"G008806";"GM0363";"2016JJ00";"  251958"
"20469";"10000";"G008806";"GM0363";"2017JJ00";"  262456"
"20470";"10000";"G008806";"GM0363";"2018JJ00";"  273433"
"20471";"10000";"G008806";"GM0363";"2019JJ00";"  285630"
"38904";"10000";"G008519";"GM0363";"1996JJ00";"   43763"
"38905";"10000";"G008519";"GM0363";"1997JJ00";"   43977"
"38906";"10000";"G008519";"GM0363";"1998JJ00";"   45439"
"38907";"10000";"G008519";"GM0363";"1999JJ00";"   47399"
"38908";"10000";"G008519";"GM0363";"2000JJ00";"   48883"
"38909";"10000";"G008519";"GM0363";"2001JJ00";"   50477"
"38910";"10000";"G008519";"GM0363";"2002JJ00";"   51905"
"38911";"10000";"G008519";"GM0363";"2003JJ00";"   53336"
"38912";"10000";"G008519";"GM0363";"2004JJ00";"   54302"
"38913";"10000";"G008519";"GM0363";"2005JJ00";"   54739"
"38914";"10000";"G008519";"GM0363";"2006JJ00";"   54331"
"38915";"10000";"G008519";"GM0363";"2007JJ00";"   53805"
"38916";"10000";"G008519";"GM0363";"2008JJ00";"   53439"
"38917";"10000";"G008519";"GM0363";"2009JJ00";"   53723"
"38918";"10000";"G008519";"GM0363";"2010JJ00";"   55044"
"38919";"10000";"G008519";"GM0363";"2011JJ00";"   55514"
"38920";"10000";"G008519";"GM0363";"2012JJ00";"   55916"
"38921";"10000";"G008519";"GM0363";"2013JJ00";"   55866"
"38922";"10000";"G008519";"GM0363";"2014JJ00";"   56114"
"38923";"10000";"G008519";"GM0363";"2015JJ00";"   56295"
"38924";"10000";"G008519";"GM0363";"2016JJ00";"   56701"
"38925";"10000";"G008519";"GM0363";"2017JJ00";"   57548"
"38926";"10000";"G008519";"GM0363";"2018JJ00";"   58109"
"38927";"10000";"G008519";"GM0363";"2019JJ00";"   59544"
"57360";"10000";"G008520";"GM0363";"1996JJ00";"   62936"
"57361";"10000";"G008520";"GM0363";"1997JJ00";"   62443"
"57362";"10000";"G008520";"GM0363";"1998JJ00";"   62671"
