City_Area;0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80+;totaal
A  Centrum;2794;2274;2242;2921;7264;11399;9504;6619;5321;5761;6188;6047;5400;4883;4349;2357;1987;87310
B  Westpoort;4;1;3;5;13;12;12;8;8;4;4;7;10;10;2;2;1;106
E  West;7622;5664;5114;5317;9989;20599;20068;14078;10688;9736;9143;8363;6571;5230;4199;2483;2557;147421
F  Nieuw-West;9867;9309;8735;9335;13915;16619;14326;12023;9994;9510;9560;9481;7752;6075;4934;3463;5226;160124
K  Zuid;7179;5891;5119;5197;9830;19176;17149;11844;9375;9309;8840;8118;6958;6343;6270;4155;5538;146291
M  Oost;7463;6688;7229;7589;11181;16606;14942;11359;9547;10043;9381;8415;6981;5480;4133;2424;2588;142049
N  Noord;6145;5877;5456;5555;6538;7819;7966;7523;6403;6488;6519;6579;5539;4284;3891;2769;3887;99238
T  Zuidoost;4750;4704;4977;5604;8338;7913;6908;6064;5509;5680;5795;6332;5835;4572;3220;1818;1822;89841
Amsterdam;45824;40408;38875;41523;67068;100143;90875;69518;56845;56531;55430;53342;45046;36877;30998;19471;23606;872380
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
