"ID";"Sex";"EmploymentType";"SectorBranchesSIC2008";"Periods";"EmployedPersons_1";"Jobs_2";"FullTimeEquivalentFte_3";"HoursWorked_4"
"1475";"T001038";"T001413";"394100 ";"1995JJ00";"29";"31";"25";"52"
"1476";"T001038";"T001413";"394100 ";"1996JJ00";"30";"32";"26";"55"
"1477";"T001038";"T001413";"394100 ";"1997JJ00";"32";"35";"28";"59"
"1478";"T001038";"T001413";"394100 ";"1998JJ00";"41";"43";"34";"69"
"1479";"T001038";"T001413";"394100 ";"1999JJ00";"45";"49";"38";"79"
"1480";"T001038";"T001413";"394100 ";"2000JJ00";"56";"60";"47";"95"
"1481";"T001038";"T001413";"394100 ";"2001JJ00";"64";"65";"60";"103"
"1482";"T001038";"T001413";"394100 ";"2002JJ00";"54";"56";"51";"88"
"1483";"T001038";"T001413";"394100 ";"2003JJ00";"47";"48";"44";"78"
"1484";"T001038";"T001413";"394100 ";"2004JJ00";"44";"45";"41";"73"
"1485";"T001038";"T001413";"394100 ";"2005JJ00";"43";"44";"40";"70"
"1486";"T001038";"T001413";"394100 ";"2006JJ00";"42";"43";"39";"68"
"1487";"T001038";"T001413";"394100 ";"2007JJ00";"41";"42";"38";"66"
"1488";"T001038";"T001413";"394100 ";"2008JJ00";"38";"40";"35";"62"
"1489";"T001038";"T001413";"394100 ";"2009JJ00";"36";"37";"32";"58"
"1490";"T001038";"T001413";"394100 ";"2010JJ00";"33";"33";"30";"54"
"1491";"T001038";"T001413";"394100 ";"2011JJ00";"32";"33";"30";"54"
"1492";"T001038";"T001413";"394100 ";"2012JJ00";"32";"33";"29";"53"
"1493";"T001038";"T001413";"394100 ";"2013JJ00";"31";"31";"28";"51"
"1494";"T001038";"T001413";"394100 ";"2014JJ00";"31";"32";"29";"52"
"1495";"T001038";"T001413";"394100 ";"2015JJ00";"30";"31";"28";"51"
"1496";"T001038";"T001413";"394100 ";"2016JJ00";"31";"31";"29";"52"
"1497";"T001038";"T001413";"394100 ";"2017JJ00";"31";"32";"30";"52"
"1498";"T001038";"T001413";"394100 ";"2018JJ00";"30";"30";"28";"49"
"1499";"T001038";"T001413";"394100 ";"2019JJ00";"28";"28";"26";"46"
"1500";"T001038";"T001413";"395005 ";"1995JJ00";"55";"60";"55";"104"
"1501";"T001038";"T001413";"395005 ";"1996JJ00";"71";"78";"70";"132"
"1502";"T001038";"T001413";"395005 ";"1997JJ00";"87";"93";"85";"160"
"1503";"T001038";"T001413";"395005 ";"1998JJ00";"103";"109";"99";"185"
"1504";"T001038";"T001413";"395005 ";"1999JJ00";"116";"125";"113";"211"
"1505";"T001038";"T001413";"395005 ";"2000JJ00";"125";"135";"122";"225"
"1506";"T001038";"T001413";"395005 ";"2001JJ00";"136";"145";"129";"238"
"1507";"T001038";"T001413";"395005 ";"2002JJ00";"131";"139";"123";"226"
"1508";"T001038";"T001413";"395005 ";"2003JJ00";"128";"136";"120";"216"
"1509";"T001038";"T001413";"395005 ";"2004JJ00";"126";"136";"120";"221"
"1510";"T001038";"T001413";"395005 ";"2005JJ00";"135";"146";"128";"236"
"1511";"T001038";"T001413";"395005 ";"2006JJ00";"143";"155";"136";"249"
"1512";"T001038";"T001413";"395005 ";"2007JJ00";"155";"167";"146";"268"
"1513";"T001038";"T001413";"395005 ";"2008JJ00";"166";"180";"158";"290"
"1514";"T001038";"T001413";"395005 ";"2009JJ00";"166";"181";"158";"292"
"1515";"T001038";"T001413";"395005 ";"2010JJ00";"164";"180";"157";"290"
"1516";"T001038";"T001413";"395005 ";"2011JJ00";"168";"186";"161";"299"
"1517";"T001038";"T001413";"395005 ";"2012JJ00";"172";"190";"164";"303"
"1518";"T001038";"T001413";"395005 ";"2013JJ00";"172";"191";"164";"303"
"1519";"T001038";"T001413";"395005 ";"2014JJ00";"178";"197";"170";"317"
"1520";"T001038";"T001413";"395005 ";"2015JJ00";"187";"207";"179";"331"
"1521";"T001038";"T001413";"395005 ";"2016JJ00";"196";"217";"188";"346"
"1522";"T001038";"T001413";"395005 ";"2017JJ00";"208";"231";"198";"362"
"1523";"T001038";"T001413";"395005 ";"2018JJ00";"221";"245";"211";"383"
"1524";"T001038";"T001413";"395005 ";"2019JJ00";"233";"257";"223";"403"
"1675";"T001038";"T001413";"300010 ";"1995JJ00";"1284";"1490";"861";"1572"
"1676";"T001038";"T001413";"300010 ";"1996JJ00";"1376";"1590";"935";"1720"
"1677";"T001038";"T001413";"300010 ";"1997JJ00";"1447";"1663";"990";"1798"
"1678";"T001038";"T001413";"300010 ";"1998JJ00";"1501";"1731";"1038";"1877"
"1679";"T001038";"T001413";"300010 ";"1999JJ00";"1560";"1803";"1085";"1962"
"1680";"T001038";"T001413";"300010 ";"2000JJ00";"1570";"1807";"1105";"1990"
"1681";"T001038";"T001413";"300010 ";"2001JJ00";"1579";"1798";"1112";"2000"
"1682";"T001038";"T001413";"300010 ";"2002JJ00";"1577";"1786";"1095";"1972"
"1683";"T001038";"T001413";"300010 ";"2003JJ00";"1547";"1747";"1063";"1936"
"1684";"T001038";"T001413";"300010 ";"2004JJ00";"1536";"1762";"1076";"1974"
"1685";"T001038";"T001413";"300010 ";"2005JJ00";"1579";"1814";"1103";"2002"
"1686";"T001038";"T001413";"300010 ";"2006JJ00";"1670";"1918";"1175";"2118"
"1687";"T001038";"T001413";"300010 ";"2007JJ00";"1767";"2030";"1257";"2261"
"1688";"T001038";"T001413";"300010 ";"2008JJ00";"1807";"2078";"1299";"2346"
"1689";"T001038";"T001413";"300010 ";"2009JJ00";"1746";"2015";"1248";"2246"
"1690";"T001038";"T001413";"300010 ";"2010JJ00";"1693";"1973";"1228";"2231"
"1691";"T001038";"T001413";"300010 ";"2011JJ00";"1724";"2014";"1255";"2284"
"1692";"T001038";"T001413";"300010 ";"2012JJ00";"1726";"2014";"1253";"2275"
"1693";"T001038";"T001413";"300010 ";"2013JJ00";"1722";"2008";"1247";"2280"
"1694";"T001038";"T001413";"300010 ";"2014JJ00";"1760";"2047";"1282";"2355"
"1695";"T001038";"T001413";"300010 ";"2015JJ00";"1833";"2137";"1349";"2475"
"1696";"T001038";"T001413";"300010 ";"2016JJ00";"1907";"2216";"1414";"2593"
"1697";"T001038";"T001413";"300010 ";"2017JJ00";"1989";"2313";"1485";"2722"
"1698";"T001038";"T001413";"300010 ";"2018JJ00";"2059";"2397";"1554";"2821"
"1699";"T001038";"T001413";"300010 ";"2019JJ00";"2079";"2423";"1577";"2859"
"1750";"T001038";"T001413";"403405 ";"1995JJ00";"337";"365";"299";"562"
"1751";"T001038";"T001413";"403405 ";"1996JJ00";"359";"388";"315";"600"
"1752";"T001038";"T001413";"403405 ";"1997JJ00";"361";"386";"325";"611"
"1753";"T001038";"T001413";"403405 ";"1998JJ00";"377";"403";"339";"635"
"1754";"T001038";"T001413";"403405 ";"1999JJ00";"396";"427";"358";"668"
"1755";"T001038";"T001413";"403405 ";"2000JJ00";"419";"450";"375";"698"
"1756";"T001038";"T001413";"403405 ";"2001JJ00";"444";"471";"395";"732"
"1757";"T001038";"T001413";"403405 ";"2002JJ00";"458";"484";"399";"732"
"1758";"T001038";"T001413";"403405 ";"2003JJ00";"453";"480";"393";"723"
