,color,clarity,carat,cut,depth,table,price,x,y,z
0,5,1,0.23,Ideal,61.5,55.0,326,3.95,3.98,2.438475
1,5,2,0.21,Premium,59.8,61.0,326,3.89,3.84,2.31127
2,5,4,0.23,Good,56.9,65.0,327,4.05,4.07,2.31014
3,1,3,0.29,Premium,62.4,58.0,334,4.2,4.23,2.6301599999999996
4,0,1,0.31,Good,63.3,58.0,335,4.34,4.35,2.750385
5,0,5,0.24,Very Good,62.8,57.0,336,3.94,3.96,2.4806
6,1,6,0.24,Very Good,62.3,57.0,336,3.95,3.98,2.470195
7,2,2,0.26,Very Good,61.9,55.0,337,4.07,4.11,2.53171
8,5,3,0.22,Fair,65.1,61.0,337,3.87,3.78,2.490075
9,2,4,0.23,Very Good,59.4,61.0,338,4.0,4.05,2.39085
10,0,2,0.3,Good,64.0,55.0,339,4.25,4.28,2.7296000000000005
11,0,4,0.23,Ideal,62.8,56.0,340,3.93,3.9,2.45862
12,4,2,0.22,Premium,60.4,61.0,342,3.88,3.84,2.3314399999999997
13,0,1,0.31,Ideal,62.2,54.0,344,4.35,4.37,2.7119199999999997
14,5,1,0.2,Premium,60.2,62.0,345,3.79,3.75,2.26954
15,5,0,0.32,Premium,60.9,58.0,345,4.38,4.42,2.6796
16,1,1,0.3,Ideal,62.0,54.0,348,4.31,4.34,2.6814999999999998
17,0,2,0.3,Good,63.4,54.0,351,4.23,4.29,2.70084
18,0,2,0.3,Good,63.8,56.0,351,4.23,4.26,2.70831
19,0,2,0.3,Very Good,62.7,59.0,351,4.21,4.27,2.65848
20,1,1,0.3,Good,63.3,56.0,351,4.26,4.3,2.7092399999999994
21,5,3,0.23,Very Good,63.8,55.0,352,3.85,3.92,2.47863
22,2,4,0.23,Very Good,61.0,57.0,353,3.94,3.96,2.4095
23,0,2,0.31,Very Good,59.4,62.0,353,4.39,4.43,2.61954
24,0,2,0.31,Very Good,58.1,62.0,353,4.44,4.47,2.5883550000000004
25,3,5,0.23,Very Good,60.4,58.0,354,3.97,4.01,2.40996
26,1,4,0.24,Premium,62.5,57.0,355,3.97,3.94,2.471875
27,0,3,0.3,Very Good,62.2,57.0,357,4.28,4.3,2.6683800000000004
28,6,3,0.23,Very Good,60.5,61.0,357,3.96,3.97,2.398825
29,4,4,0.23,Very Good,60.9,57.0,357,3.96,3.99,2.420775
30,4,4,0.23,Very Good,60.0,57.0,402,4.0,4.03,2.4090000000000003
31,4,4,0.23,Very Good,59.8,57.0,402,4.04,4.06,2.4218999999999995
32,5,4,0.23,Very Good,60.7,59.0,402,3.97,4.01,2.42193
33,5,4,0.23,Very Good,59.5,58.0,402,4.01,4.06,2.400825
34,6,4,0.23,Very Good,61.9,58.0,402,3.92,3.96,2.43886
35,4,4,0.23,Good,58.2,59.0,402,4.06,4.08,2.3687400000000003
36,5,4,0.23,Good,64.1,59.0,402,3.83,3.85,2.4614399999999996
37,2,2,0.31,Good,64.0,54.0,402,4.29,4.31,2.752
38,6,3,0.26,Very Good,60.8,59.0,403,4.13,4.16,2.5201599999999997
39,1,1,0.33,Ideal,61.8,55.0,403,4.49,4.51,2.7809999999999997
40,1,1,0.33,Ideal,61.2,56.0,403,4.49,4.5,2.75094
41,0,2,0.33,Ideal,61.1,56.0,403,4.49,4.55,2.7617199999999995
42,6,3,0.26,Good,65.2,56.0,403,3.99,4.02,2.6112599999999997
43,6,4,0.26,Good,58.4,63.0,403,4.19,4.24,2.46156
44,2,1,0.32,Good,63.1,56.0,403,4.34,4.37,2.7480050000000005
45,4,2,0.29,Premium,62.4,58.0,403,4.24,4.26,2.6519999999999997
46,2,1,0.32,Very Good,61.8,55.0,403,4.35,4.42,2.70993
47,2,1,0.32,Good,63.8,56.0,403,4.36,4.38,2.7880599999999998
48,5,3,0.25,Very Good,63.3,60.0,404,4.0,4.03,2.5414950000000003
49,2,1,0.29,Very Good,60.7,60.0,404,4.33,4.37,2.64045
50,4,2,0.24,Very Good,60.9,61.0,404,4.02,4.03,2.451225
51,3,4,0.23,Ideal,61.9,54.0,404,3.93,3.95,2.43886
52,1,2,0.32,Ideal,60.9,55.0,404,4.45,4.48,2.719185
53,5,3,0.22,Premium,61.6,58.0,404,3.93,3.89,2.40856
54,6,3,0.22,Premium,59.3,62.0,404,3.91,3.88,2.309735
55,1,1,0.3,Ideal,61.0,59.0,405,4.3,4.33,2.6321499999999998
56,0,1,0.3,Premium,59.3,61.0,405,4.43,4.38,2.612164999999999
57,1,2,0.3,Very Good,62.6,57.0,405,4.25,4.28,2.6698900000000005
58,1,2,0.3,Very Good,63.0,57.0,405,4.28,4.32,2.7090000000000005
59,1,2,0.3,Good,63.2,55.0,405,4.25,4.29,2.6986399999999997
60,1,4,0.35,Ideal,60.9,57.0,552,4.54,4.59,2.7800849999999997
61,6,2,0.3,Premium,62.6,59.0,552,4.23,4.27,2.6605000000000003
62,6,2,0.3,Ideal,62.5,57.0,552,4.29,4.32,2.690625
63,6,2,0.3,Ideal,62.1,56.0,552,4.3,4.33,2.679615
64,1,1,0.42,Premium,61.5,59.0,552,4.78,4.84,2.9581500000000007
65,3,5,0.28,Ideal,61.4,56.0,553,4.19,4.22,2.5818700000000003
66,1,6,0.32,Ideal,62.0,55.3,553,4.39,4.42,2.7310999999999996
67,3,2,0.31,Very Good,63.3,57.0,553,4.33,4.3,2.7313949999999996
68,3,2,0.31,Premium,61.8,58.0,553,4.35,4.32,2.6790299999999996
69,5,6,0.24,Premium,60.7,58.0,553,4.01,4.03,2.44014
70,6,6,0.24,Very Good,61.5,60.0,553,3.97,4.0,2.450775
71,2,2,0.3,Very Good,63.1,56.0,554,4.29,4.27,2.7006799999999997
72,2,2,0.3,Premium,62.9,59.0,554,4.28,4.24,2.6795400000000003
73,2,2,0.3,Premium,62.5,57.0,554,4.29,4.25,2.66875
74,2,2,0.3,Good,63.7,57.0,554,4.28,4.26,2.7199899999999997
75,4,5,0.26,Very Good,59.2,60.0,554,4.19,4.22,2.48936
76,5,5,0.26,Very Good,59.9,58.0,554,4.15,4.23,2.5098100000000003
77,6,5,0.26,Very Good,62.4,54.0,554,4.08,4.13,2.5615200000000002
78,6,5,0.26,Very Good,62.8,60.0,554,4.01,4.05,2.5308399999999995
79,5,6,0.26,Very Good,62.6,59.0,554,4.06,4.09,2.55095
80,5,6,0.26,Very Good,63.4,59.0,554,4.0,4.04,2.5486799999999996
81,6,6,0.26,Very Good,62.1,60.0,554,4.03,4.12,2.5305750000000002
82,5,5,0.26,Ideal,62.9,58.0,554,4.02,4.06,2.541159999999999
83,1,1,0.38,Ideal,61.6,56.0,554,4.65,4.67,2.8705600000000002
84,5,6,0.26,Good,57.9,60.0,554,4.22,4.25,2.4520649999999993
85,3,6,0.24,Premium,62.3,59.0,554,3.95,3.92,2.451505
86,2,6,0.24,Premium,61.2,58.0,554,4.01,3.96,2.43882
87,2,6,0.24,Premium,60.8,59.0,554,4.02,4.0,2.43808
88,2,5,0.24,Premium,60.7,58.0,554,4.07,4.04,2.461385
89,1,2,0.32,Premium,62.9,58.0,554,4.35,4.33,2.72986
90,5,2,0.7,Ideal,62.5,57.0,2757,5.7,5.72,3.56875
91,5,1,0.86,Fair,55.1,69.0,2757,6.45,6.33,3.5208900000000005
92,3,3,0.7,Ideal,61.6,56.0,2757,5.7,5.67,3.5019600000000004
93,5,3,0.71,Very Good,62.4,57.0,2759,5.68,5.73,3.55992
94,3,1,0.78,Very Good,63.8,56.0,2759,5.81,5.85,3.7195400000000003
95,5,3,0.7,Good,57.5,58.0,2759,5.85,5.9,3.378125
96,4,4,0.7,Good,59.4,62.0,2759,5.71,5.76,3.4065899999999996
97,4,1,0.96,Fair,66.3,62.0,2759,6.27,5.95,4.050929999999999
98,5,2,0.73,Very Good,61.6,59.0,2760,5.77,5.78,3.5574
99,2,2,0.8,Premium,61.5,58.0,2760,5.97,5.93,3.6592499999999997
100,6,2,0.75,Very Good,63.2,56.0,2760,5.8,5.75,3.6498000000000004
101,5,2,0.75,Premium,59.9,54.0,2760,6.0,5.96,3.58202
102,3,2,0.74,Ideal,61.6,55.0,2760,5.8,5.85,3.588199999999999
103,3,3,0.75,Premium,61.7,58.0,2760,5.85,5.79,3.5909400000000007
104,1,4,0.8,Ideal,62.9,56.0,2760,5.94,5.87,3.714245
105,3,2,0.75,Ideal,62.2,55.0,2760,5.87,5.8,3.62937
106,3,2,0.8,Premium,63.0,59.0,2760,5.9,5.81,3.68865
107,1,5,0.74,Ideal,62.3,55.0,2761,5.77,5.81,3.607169999999999
108,4,1,0.81,Ideal,58.8,57.0,2761,6.14,6.11,3.6014999999999997
109,5,5,0.59,Ideal,62.0,55.0,2761,5.38,5.43,3.3510999999999997
