Entity,Category,Year,PcIndex_Base2005,Derived_CPI,YoY_change,Y0Y_changeD
Netherlands,Beer,1996,68.37,81.62,,
Netherlands,Beer,1997,68.47,81.74,0.1,0.1
Netherlands,Beer,1998,68.51,81.79,0.1,0.1
Netherlands,Beer,1999,69.13,82.54,0.9,0.9
Netherlands,Beer,2000,68.75,82.08,-0.5,-0.6
Netherlands,Beer,2001,74.54,87.9,8.4,7.1
Netherlands,Beer,2002,80.34,91.69,7.8,4.3
Netherlands,Beer,2003,83.24,93.76,3.6,2.3
Netherlands,Beer,2004,77.33,86.9,-7.1,-7.3
Netherlands,Beer,2005,75.91,85.28,-1.8,-1.9
Netherlands,Beer,2006,77.61,87.2,2.2,2.3
Netherlands,Beer,2007,79.48,89.3,2.4,2.4
Netherlands,Beer,2008,82.91,93.16,4.3,4.3
Netherlands,Beer,2009,89.29,94.77,7.7,1.7
Netherlands,Beer,2010,90.16,95.57,1.0,0.8
Netherlands,Beer,2011,89.74,95.13,-0.5,-0.5
Netherlands,Beer,2012,93.12,98.29,3.8,3.3
Netherlands,Beer,2013,99.0,100.77,6.3,2.5
Netherlands,Beer,2014,101.64,101.68,2.7,0.9
Netherlands,Beer,2015,100.0,100.0,-1.6,-1.7
Netherlands,Beer,2016,100.69,100.62,0.7,0.6
Netherlands,Beer,2017,100.87,100.8,0.2,0.2
Netherlands,Beer,2018,102.72,102.64,1.8,1.8
Netherlands,Beer,2019,103.4,102.97,0.7,0.3
