"PERIOD","DECL","PRCCODE","PRCCODE_LABEL","INDICATORS","Value","Flag and Footnotes"
"Jan.-Dec. 1995","France","11051000","Beer made from malt (excluding non-alcoholic beer, beer containing <= 0,5 % by volume of alcohol, alcohol duty)","PRODQNT","2,037,293,000",""
"Jan.-Dec. 1995","France","11051010","Non-alcoholic beer and beer containing <= 0.5% alcohol","PRODQNT",":",""
"Jan.-Dec. 1995","Netherlands","11051000","Beer made from malt (excluding non-alcoholic beer, beer containing <= 0,5 % by volume of alcohol, alcohol duty)","PRODQNT","2,238,000,000",""
"Jan.-Dec. 1995","Netherlands","11051010","Non-alcoholic beer and beer containing <= 0.5% alcohol","PRODQNT",":",""
"Jan.-Dec. 1995","Germany","11051000","Beer made from malt (excluding non-alcoholic beer, beer containing <= 0,5 % by volume of alcohol, alcohol duty)","PRODQNT","11,187,541,800",""
"Jan.-Dec. 1995","Germany","11051010","Non-alcoholic beer and beer containing <= 0.5% alcohol","PRODQNT",":",""
"Jan.-Dec. 1995","Italy","11051000","Beer made from malt (excluding non-alcoholic beer, beer containing <= 0,5 % by volume of alcohol, alcohol duty)","PRODQNT","1,171,155,335",""
"Jan.-Dec. 1995","Italy","11051010","Non-alcoholic beer and beer containing <= 0.5% alcohol","PRODQNT",":",""
"Jan.-Dec. 1995","United Kingdom","11051000","Beer made from malt (excluding non-alcoholic beer, beer containing <= 0,5 % by volume of alcohol, alcohol duty)","PRODQNT","6,537,386,000",""
"Jan.-Dec. 1995","United Kingdom","11051010","Non-alcoholic beer and beer containing <= 0.5% alcohol","PRODQNT",":",""
"Jan.-Dec. 1995","Ireland","11051000","Beer made from malt (excluding non-alcoholic beer, beer containing <= 0,5 % by volume of alcohol, alcohol duty)","PRODQNT","813,177,689",""
"Jan.-Dec. 1995","Ireland","11051010","Non-alcoholic beer and beer containing <= 0.5% alcohol","PRODQNT",":",""
"Jan.-Dec. 1995","Denmark","11051000","Beer made from malt (excluding non-alcoholic beer, beer containing <= 0,5 % by volume of alcohol, alcohol duty)","PRODQNT","1,005,767,000",""
"Jan.-Dec. 1995","Denmark","11051010","Non-alcoholic beer and beer containing <= 0.5% alcohol","PRODQNT",":",""
"Jan.-Dec. 1995","Greece","11051000","Beer made from malt (excluding non-alcoholic beer, beer containing <= 0,5 % by volume of alcohol, alcohol duty)","PRODQNT","403,976,390",""
"Jan.-Dec. 1995","Greece","11051010","Non-alcoholic beer and beer containing <= 0.5% alcohol","PRODQNT",":",""
"Jan.-Dec. 1995","Portugal","11051000","Beer made from malt (excluding non-alcoholic beer, beer containing <= 0,5 % by volume of alcohol, alcohol duty)","PRODQNT","689,475,245",""
"Jan.-Dec. 1995","Portugal","11051010","Non-alcoholic beer and beer containing <= 0.5% alcohol","PRODQNT",":",""
"Jan.-Dec. 1995","Spain","11051000","Beer made from malt (excluding non-alcoholic beer, beer containing <= 0,5 % by volume of alcohol, alcohol duty)","PRODQNT","2,539,603,600",""
"Jan.-Dec. 1995","Spain","11051010","Non-alcoholic beer and beer containing <= 0.5% alcohol","PRODQNT",":",""
"Jan.-Dec. 1995","Belgium","11051000","Beer made from malt (excluding non-alcoholic beer, beer containing <= 0,5 % by volume of alcohol, alcohol duty)","PRODQNT","1,511,036,758",""
"Jan.-Dec. 1995","Belgium","11051010","Non-alcoholic beer and beer containing <= 0.5% alcohol","PRODQNT",":",""
"Jan.-Dec. 1995","Luxemburg","11051000","Beer made from malt (excluding non-alcoholic beer, beer containing <= 0,5 % by volume of alcohol, alcohol duty)","PRODQNT",":","(1)"
"Jan.-Dec. 1995","Luxemburg","11051010","Non-alcoholic beer and beer containing <= 0.5% alcohol","PRODQNT",":",""
"Jan.-Dec. 1995","Iceland","11051000","Beer made from malt (excluding non-alcoholic beer, beer containing <= 0,5 % by volume of alcohol, alcohol duty)","PRODQNT",":",""
"Jan.-Dec. 1995","Iceland","11051010","Non-alcoholic beer and beer containing <= 0.5% alcohol","PRODQNT",":",""
"Jan.-Dec. 1995","Norway","11051000","Beer made from malt (excluding non-alcoholic beer, beer containing <= 0,5 % by volume of alcohol, alcohol duty)","PRODQNT","225,522,901",""
"Jan.-Dec. 1995","Norway","11051010","Non-alcoholic beer and beer containing <= 0.5% alcohol","PRODQNT",":",""
"Jan.-Dec. 1995","Sweden","11051000","Beer made from malt (excluding non-alcoholic beer, beer containing <= 0,5 % by volume of alcohol, alcohol duty)","PRODQNT","547,055,500",""
"Jan.-Dec. 1995","Sweden","11051010","Non-alcoholic beer and beer containing <= 0.5% alcohol","PRODQNT",":",""
"Jan.-Dec. 1995","Finland","11051000","Beer made from malt (excluding non-alcoholic beer, beer containing <= 0,5 % by volume of alcohol, alcohol duty)","PRODQNT","470,257,101",""
"Jan.-Dec. 1995","Finland","11051010","Non-alcoholic beer and beer containing <= 0.5% alcohol","PRODQNT",":",""
"Jan.-Dec. 1995","Austria","11051000","Beer made from malt (excluding non-alcoholic beer, beer containing <= 0,5 % by volume of alcohol, alcohol duty)","PRODQNT","930,365,576",""
"Jan.-Dec. 1995","Austria","11051010","Non-alcoholic beer and beer containing <= 0.5% alcohol","PRODQNT",":",""
"Jan.-Dec. 1995","Malta","11051000","Beer made from malt (excluding non-alcoholic beer, beer containing <= 0,5 % by volume of alcohol, alcohol duty)","PRODQNT",":",""
"Jan.-Dec. 1995","Malta","11051010","Non-alcoholic beer and beer containing <= 0.5% alcohol","PRODQNT",":",""
"Jan.-Dec. 1995","Estonia","11051000","Beer made from malt (excluding non-alcoholic beer, beer containing <= 0,5 % by volume of alcohol, alcohol duty)","PRODQNT",":",""
