"Expenditure categories";"Periods";"CPI (2015 = 100)";"Derived CPI (2015 = 100)";"Year-on-year change CPI (%)";"Year-on-year change Derived CPI (%)"
"011740 Potatoes";"1996";"   46.28";"   46.28";"";""
"011740 Potatoes";"1997";"   43.06";"   43.06";"    -7.0";"    -7.0"
"011740 Potatoes";"1998";"   58.80";"   58.80";"    36.6";"    36.6"
"011740 Potatoes";"1999";"   71.91";"   71.91";"    22.3";"    22.3"
"011740 Potatoes";"2000";"   51.21";"   51.21";"   -28.8";"   -28.8"
"011740 Potatoes";"2001";"   65.82";"   65.82";"    28.5";"    28.5"
"011740 Potatoes";"2002";"   73.41";"   73.41";"    11.5";"    11.5"
"011740 Potatoes";"2003";"   71.85";"   71.81";"    -2.1";"    -2.2"
"011740 Potatoes";"2004";"   70.94";"   70.94";"    -1.3";"    -1.2"
"011740 Potatoes";"2005";"   64.49";"   64.49";"    -9.1";"    -9.1"
"011740 Potatoes";"2006";"   94.27";"   94.27";"    46.2";"    46.2"
"011740 Potatoes";"2007";"   99.26";"   99.26";"     5.3";"     5.3"
"011740 Potatoes";"2008";"   94.92";"   94.92";"    -4.4";"    -4.4"
"011740 Potatoes";"2009";"   88.02";"   88.02";"    -7.3";"    -7.3"
"011740 Potatoes";"2010";"  102.28";"  102.28";"    16.2";"    16.2"
"011740 Potatoes";"2011";"  104.36";"  104.36";"     2.0";"     2.0"
"011740 Potatoes";"2012";"   93.03";"   93.03";"   -10.9";"   -10.9"
"011740 Potatoes";"2013";"  105.97";"  105.97";"    13.9";"    13.9"
"011740 Potatoes";"2014";"   92.02";"   92.02";"   -13.2";"   -13.2"
"011740 Potatoes";"2015";"  100.00";"  100.00";"     8.7";"     8.7"
"011740 Potatoes";"2016";"  113.39";"  113.39";"    13.4";"    13.4"
"011740 Potatoes";"2017";"  117.39";"  117.39";"     3.5";"     3.5"
"011740 Potatoes";"2018";"  117.94";"  117.94";"     0.5";"     0.5"
"011740 Potatoes";"2019";"  136.22";"  132.46";"    15.5";"    12.3"
