"Climate data De Bilt; temperature, precipitation, sunshine 1800-2014"
""
"";"Topic"
"";"Temperature|Year average";"Temperature|Winter average";"Temperature|Summer average";"Temperature|Winter average minimum temperature";"Temperature|Summer average maximum temperature";"Temperature|Ice days";"Temperature|Frost days";"Temperature|Summery days";"Temperature|Tropical days";"Temperature|Heating degree days";"Precipitation|Quantity of precipitation";"Precipitation|Days with precipitation";"Precipitation|Snow days";"Precipitation|Dry days";"Precipitation|Days with fog";"Precipitation|Evaporation";"Precipitation|Relative humidity";"Sunshine|Hours of sunshine";"Sunshine|Sunless days"
"Periods";"degree Celsius";"degree Celsius";"degree Celsius";"degree Celsius";"degree Celsius";"days";"days";"days";"days";"degree Celsius";"mm";"days";"days";"days";"days";"mm";"%";"hours";"days"
"Climate 1971 to 2000";"9.8";"3.3";"16.6";"0.4";"21.4";"8";"58";"22";"3";"3075";"827";"131";"25";"109";"65";"543";"82";"1524";"76"
"Climate 1981 to 2010";"10.1";"3.4";"17.0";"0.5";"21.9";"8";"58";"26";"4";"2884";"887";"131";"25";"122";"63";"559";"82";"1602";"61"
"2009";"10.5";"2.2";"17.4";"-0.6";"22.4";"9";"56";"27";"1";"2805";"833";"132";"28";"132";"88";"612";"81";"1838";"37"
"2010";"9.1";"1.1";"17.7";"-1.5";"22.7";"29";"89";"27";"3";"3321";"901";"123";"58";"126";"100";"590";"80";"1752";"62"
"2011";"10.9";"2.3";"16.3";"-0.5";"20.6";"4";"50";"20";"1";"2622";"962";"127";"9";"147";"98";"585";"81";"1788";"48"
"2012";"10.3";"4.1";"16.9";"1.1";"21.4";"13";"50";"24";"2";"2879";"973";"140";"10";"120";"88";"564";"81";"1610";"48"
"2013";"9.8";"2.9";"17.5";"0.4";"22.5";"13";"69";"27";"7";"3078";"934";"139";"32";"139";"85";"565";"80";"1628";"57"
"2014";"11.7";"6.0";"17.4";"3.3";"22.0";"0";"26";"23";"2";"2385";"952";"124";"3";"130";"88";"607";"81";"1787";"42"
"Source: CBS"
