"Periods";"Temperature/Year average (degree Celsius)";"Temperature/Winter average (degree Celsius)";"Temperature/Summer average (degree Celsius)";"Temperature/Winter average minimum temperature (degree Celsius)";"Temperature/Summer average maximum temperature (degree Celsius)";"Temperature/Ice days (days)";"Temperature/Frost days (days)";"Temperature/Summery days (days)";"Temperature/Tropical days (days)";"Temperature/Heating degree days (degree Celsius)";"Precipitation/Quantity of precipitation (mm)";"Precipitation/Days with precipitation (days)";"Precipitation/Snow days (days)";"Precipitation/Dry days (days)";"Precipitation/Days with fog (days)";"Precipitation/Evaporation (mm)";"Precipitation/Relative humidity (%)";"Sunshine/Hours of sunshine (hours)";"Sunshine/Sunless days (days)"
"1960";9,6;3,2;15,6;;;5;44;10;;3063;928;;;;;;;1355;
"1961";9,8;3,7;15,6;;;9;42;16;;3010;912;;;;;;;1435;
"1962";8,1;2,7;14,7;;;13;72;4;;3601;765;;;;;;;1398;
"1963";7,8;-3,1;15,8;;;42;92;25;;3717;777;;;;;;;1425;
"1964";8,9;1,1;15,8;;;11;71;23;;3320;748;;;;;;;1531;
"1965";8,5;2,2;14,8;;;6;72;4;;3404;1160;;;;;;;1509;
"1966";9,4;3;16,1;;;16;57;14;;3171;1143;;;;;;;1319;
"1967";9,9;4,2;16,3;;;3;41;15;;2991;856;;;;;;;1498;
"1968";9,1;2,3;16,1;;;14;79;15;;3268;863;;;;;;;1332;
"1969";9,5;1,6;17,4;;;17;81;29;;3282;748;;;;;;;1519;
"1970";9,1;0,1;16,7;;;14;72;24;;3295;909;;;;;;;1490;
"1971";9,5;2,8;16,1;;;9;66;13;;3133;562;111;;;;;;1621;84
"1972";8,8;3,2;15,4;;;7;61;9;;3379;656;122;;;;;;1469;85
"1973";9,3;3;16,9;;;3;70;24;;3234;780;125;;;;;;1608;79
"1974";9,7;4,2;15,5;;;2;37;7;;3033;993;153;;;;;;1528;81
"1975";9,8;5,5;17,6;;;0;58;32;;3083;628;118;;;;;;1643;69
"1976";10;3,5;18,4;;;8;64;45;;3097;542;105;;;;;;1813;64
"1977";9,8;3,2;15,9;;;3;47;6;;2997;813;145;;;;;;1365;79
"1978";9;3;15,2;;;14;64;13;;3304;645;133;;;;;;1317;92
"1979";8,5;-0,8;15,5;;;25;83;13;;3476;873;147;;;;;;1331;91
"1980";9,3;3,5;15,9;0,8;20,3;10;72;12;0;3301;863;137;37;;75;635;85;1427;87
"1981";9,2;2,6;15,8;-0,2;20;12;73;14;0;3244;992;146;46;71;80;599;83;1308;86
"1982";10,1;1,1;17,6;-2,1;24,5;18;74;32;6;3005;635;117;18;145;80;669;81;1649;67
"1983";10,1;3,5;18,2;0,7;23,9;3;63;40;7;2999;891;128;26;124;63;656;81;1550;69
"1984";9,5;3,1;15,9;0,4;20,8;3;56;16;2;3177;890;131;28;106;73;602;83;1392;73
"1985";8,5;0,2;15,7;-3,2;20,2;28;89;15;1;3487;727;127;51;106;97;610;84;1390;86
"1986";9;1,5;16,4;-1,4;21,6;19;73;21;3;3333;834;117;36;123;65;669;80;1550;69
"1987";8,9;1,5;15,6;-1,4;19,9;17;80;11;0;3372;976;138;31;105;62;480;82;1308;87
"1988";10,3;5;15,8;2,3;20,2;0;34;15;0;2823;933;151;23;103;53;506;81;1218;84
"1989";10,7;5,6;17;2,8;22,5;1;41;34;3;2729;718;107;12;145;66;573;80;1719;70
"1990";10,9;6;16,8;3,2;21,9;0;33;32;3;2677;764;124;15;127;46;547;79;1622;66
"1991";9,5;2,2;16,6;-0,9;21,1;8;68;26;1;3163;716;107;17;132;74;538;81;1530;73
