"TIME","GEO","NA_ITEM","PPP_CAT","Value","Flag and Footnotes"
"1995","European Union - 28 countries (2013-2020)","Price level indices (EU28=100)","Food",":",""
"1995","European Union - 28 countries (2013-2020)","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","European Union - 28 countries (2013-2020)","Price level indices (EU28=100)","Meat",":",""
"1995","European Union - 28 countries (2013-2020)","Price level indices (EU28=100)","Fish",":",""
"1995","European Union - 28 countries (2013-2020)","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","European Union - 28 countries (2013-2020)","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","European Union - 28 countries (2013-2020)","Price level indices (EU28=100)","Tobacco",":",""
"1995","European Union - 28 countries (2013-2020)","Price level indices (EU28=100)","Clothing",":",""
"1995","European Union - 28 countries (2013-2020)","Price level indices (EU28=100)","Footwear",":",""
"1995","Belgium","Price level indices (EU28=100)","Food",":",""
"1995","Belgium","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Belgium","Price level indices (EU28=100)","Meat",":",""
"1995","Belgium","Price level indices (EU28=100)","Fish",":",""
"1995","Belgium","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Belgium","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Belgium","Price level indices (EU28=100)","Tobacco",":",""
"1995","Belgium","Price level indices (EU28=100)","Clothing",":",""
"1995","Belgium","Price level indices (EU28=100)","Footwear",":",""
"1995","Bulgaria","Price level indices (EU28=100)","Food",":",""
"1995","Bulgaria","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Bulgaria","Price level indices (EU28=100)","Meat",":",""
"1995","Bulgaria","Price level indices (EU28=100)","Fish",":",""
"1995","Bulgaria","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Bulgaria","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Bulgaria","Price level indices (EU28=100)","Tobacco",":",""
"1995","Bulgaria","Price level indices (EU28=100)","Clothing",":",""
"1995","Bulgaria","Price level indices (EU28=100)","Footwear",":",""
"1995","Czechia","Price level indices (EU28=100)","Food",":",""
"1995","Czechia","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Czechia","Price level indices (EU28=100)","Meat",":",""
"1995","Czechia","Price level indices (EU28=100)","Fish",":",""
"1995","Czechia","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Czechia","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Czechia","Price level indices (EU28=100)","Tobacco",":",""
"1995","Czechia","Price level indices (EU28=100)","Clothing",":",""
"1995","Czechia","Price level indices (EU28=100)","Footwear",":",""
"1995","Denmark","Price level indices (EU28=100)","Food",":",""
"1995","Denmark","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Denmark","Price level indices (EU28=100)","Meat",":",""
"1995","Denmark","Price level indices (EU28=100)","Fish",":",""
"1995","Denmark","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Denmark","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Denmark","Price level indices (EU28=100)","Tobacco",":",""
"1995","Denmark","Price level indices (EU28=100)","Clothing",":",""
"1995","Denmark","Price level indices (EU28=100)","Footwear",":",""
"1995","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Food",":",""
"1995","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Meat",":",""
"1995","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Fish",":",""
"1995","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Tobacco",":",""
"1995","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Clothing",":",""
"1995","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Footwear",":",""
"1995","Estonia","Price level indices (EU28=100)","Food",":",""
"1995","Estonia","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Estonia","Price level indices (EU28=100)","Meat",":",""
"1995","Estonia","Price level indices (EU28=100)","Fish",":",""
"1995","Estonia","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Estonia","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Estonia","Price level indices (EU28=100)","Tobacco",":",""
"1995","Estonia","Price level indices (EU28=100)","Clothing",":",""
"1995","Estonia","Price level indices (EU28=100)","Footwear",":",""
"1995","Ireland","Price level indices (EU28=100)","Food",":",""
"1995","Ireland","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Ireland","Price level indices (EU28=100)","Meat",":",""
"1995","Ireland","Price level indices (EU28=100)","Fish",":",""
"1995","Ireland","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Ireland","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Ireland","Price level indices (EU28=100)","Tobacco",":",""
"1995","Ireland","Price level indices (EU28=100)","Clothing",":",""
"1995","Ireland","Price level indices (EU28=100)","Footwear",":",""
"1995","Greece","Price level indices (EU28=100)","Food",":",""
"1995","Greece","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Greece","Price level indices (EU28=100)","Meat",":",""
"1995","Greece","Price level indices (EU28=100)","Fish",":",""
"1995","Greece","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Greece","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Greece","Price level indices (EU28=100)","Tobacco",":",""
"1995","Greece","Price level indices (EU28=100)","Clothing",":",""
"1995","Greece","Price level indices (EU28=100)","Footwear",":",""
"1995","Spain","Price level indices (EU28=100)","Food",":",""
"1995","Spain","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Spain","Price level indices (EU28=100)","Meat",":",""
"1995","Spain","Price level indices (EU28=100)","Fish",":",""
"1995","Spain","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Spain","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Spain","Price level indices (EU28=100)","Tobacco",":",""
"1995","Spain","Price level indices (EU28=100)","Clothing",":",""
"1995","Spain","Price level indices (EU28=100)","Footwear",":",""
"1995","France","Price level indices (EU28=100)","Food",":",""
"1995","France","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","France","Price level indices (EU28=100)","Meat",":",""
"1995","France","Price level indices (EU28=100)","Fish",":",""
"1995","France","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","France","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","France","Price level indices (EU28=100)","Tobacco",":",""
"1995","France","Price level indices (EU28=100)","Clothing",":",""
"1995","France","Price level indices (EU28=100)","Footwear",":",""
"1995","Croatia","Price level indices (EU28=100)","Food",":",""
"1995","Croatia","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Croatia","Price level indices (EU28=100)","Meat",":",""
"1995","Croatia","Price level indices (EU28=100)","Fish",":",""
"1995","Croatia","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Croatia","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Croatia","Price level indices (EU28=100)","Tobacco",":",""
"1995","Croatia","Price level indices (EU28=100)","Clothing",":",""
"1995","Croatia","Price level indices (EU28=100)","Footwear",":",""
"1995","Italy","Price level indices (EU28=100)","Food",":",""
"1995","Italy","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Italy","Price level indices (EU28=100)","Meat",":",""
"1995","Italy","Price level indices (EU28=100)","Fish",":",""
"1995","Italy","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Italy","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Italy","Price level indices (EU28=100)","Tobacco",":",""
"1995","Italy","Price level indices (EU28=100)","Clothing",":",""
"1995","Italy","Price level indices (EU28=100)","Footwear",":",""
"1995","Cyprus","Price level indices (EU28=100)","Food",":",""
"1995","Cyprus","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Cyprus","Price level indices (EU28=100)","Meat",":",""
"1995","Cyprus","Price level indices (EU28=100)","Fish",":",""
"1995","Cyprus","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Cyprus","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Cyprus","Price level indices (EU28=100)","Tobacco",":",""
"1995","Cyprus","Price level indices (EU28=100)","Clothing",":",""
"1995","Cyprus","Price level indices (EU28=100)","Footwear",":",""
"1995","Latvia","Price level indices (EU28=100)","Food",":",""
"1995","Latvia","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Latvia","Price level indices (EU28=100)","Meat",":",""
"1995","Latvia","Price level indices (EU28=100)","Fish",":",""
"1995","Latvia","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Latvia","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Latvia","Price level indices (EU28=100)","Tobacco",":",""
"1995","Latvia","Price level indices (EU28=100)","Clothing",":",""
"1995","Latvia","Price level indices (EU28=100)","Footwear",":",""
"1995","Lithuania","Price level indices (EU28=100)","Food",":",""
"1995","Lithuania","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Lithuania","Price level indices (EU28=100)","Meat",":",""
"1995","Lithuania","Price level indices (EU28=100)","Fish",":",""
"1995","Lithuania","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Lithuania","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Lithuania","Price level indices (EU28=100)","Tobacco",":",""
"1995","Lithuania","Price level indices (EU28=100)","Clothing",":",""
"1995","Lithuania","Price level indices (EU28=100)","Footwear",":",""
"1995","Luxembourg","Price level indices (EU28=100)","Food",":",""
"1995","Luxembourg","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Luxembourg","Price level indices (EU28=100)","Meat",":",""
"1995","Luxembourg","Price level indices (EU28=100)","Fish",":",""
"1995","Luxembourg","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Luxembourg","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Luxembourg","Price level indices (EU28=100)","Tobacco",":",""
"1995","Luxembourg","Price level indices (EU28=100)","Clothing",":",""
"1995","Luxembourg","Price level indices (EU28=100)","Footwear",":",""
"1995","Hungary","Price level indices (EU28=100)","Food",":",""
"1995","Hungary","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Hungary","Price level indices (EU28=100)","Meat",":",""
"1995","Hungary","Price level indices (EU28=100)","Fish",":",""
"1995","Hungary","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Hungary","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Hungary","Price level indices (EU28=100)","Tobacco",":",""
"1995","Hungary","Price level indices (EU28=100)","Clothing",":",""
"1995","Hungary","Price level indices (EU28=100)","Footwear",":",""
"1995","Malta","Price level indices (EU28=100)","Food",":",""
"1995","Malta","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Malta","Price level indices (EU28=100)","Meat",":",""
"1995","Malta","Price level indices (EU28=100)","Fish",":",""
"1995","Malta","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Malta","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Malta","Price level indices (EU28=100)","Tobacco",":",""
"1995","Malta","Price level indices (EU28=100)","Clothing",":",""
"1995","Malta","Price level indices (EU28=100)","Footwear",":",""
"1995","Netherlands","Price level indices (EU28=100)","Food",":",""
"1995","Netherlands","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Netherlands","Price level indices (EU28=100)","Meat",":",""
"1995","Netherlands","Price level indices (EU28=100)","Fish",":",""
"1995","Netherlands","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Netherlands","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Netherlands","Price level indices (EU28=100)","Tobacco",":",""
"1995","Netherlands","Price level indices (EU28=100)","Clothing",":",""
"1995","Netherlands","Price level indices (EU28=100)","Footwear",":",""
"1995","Austria","Price level indices (EU28=100)","Food",":",""
"1995","Austria","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Austria","Price level indices (EU28=100)","Meat",":",""
"1995","Austria","Price level indices (EU28=100)","Fish",":",""
"1995","Austria","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Austria","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Austria","Price level indices (EU28=100)","Tobacco",":",""
"1995","Austria","Price level indices (EU28=100)","Clothing",":",""
"1995","Austria","Price level indices (EU28=100)","Footwear",":",""
"1995","Poland","Price level indices (EU28=100)","Food",":",""
"1995","Poland","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Poland","Price level indices (EU28=100)","Meat",":",""
"1995","Poland","Price level indices (EU28=100)","Fish",":",""
"1995","Poland","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Poland","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Poland","Price level indices (EU28=100)","Tobacco",":",""
"1995","Poland","Price level indices (EU28=100)","Clothing",":",""
"1995","Poland","Price level indices (EU28=100)","Footwear",":",""
"1995","Portugal","Price level indices (EU28=100)","Food",":",""
"1995","Portugal","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Portugal","Price level indices (EU28=100)","Meat",":",""
"1995","Portugal","Price level indices (EU28=100)","Fish",":",""
"1995","Portugal","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Portugal","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Portugal","Price level indices (EU28=100)","Tobacco",":",""
"1995","Portugal","Price level indices (EU28=100)","Clothing",":",""
"1995","Portugal","Price level indices (EU28=100)","Footwear",":",""
"1995","Romania","Price level indices (EU28=100)","Food",":",""
"1995","Romania","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Romania","Price level indices (EU28=100)","Meat",":",""
"1995","Romania","Price level indices (EU28=100)","Fish",":",""
"1995","Romania","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Romania","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Romania","Price level indices (EU28=100)","Tobacco",":",""
"1995","Romania","Price level indices (EU28=100)","Clothing",":",""
"1995","Romania","Price level indices (EU28=100)","Footwear",":",""
"1995","Slovenia","Price level indices (EU28=100)","Food",":",""
"1995","Slovenia","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Slovenia","Price level indices (EU28=100)","Meat",":",""
"1995","Slovenia","Price level indices (EU28=100)","Fish",":",""
"1995","Slovenia","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Slovenia","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Slovenia","Price level indices (EU28=100)","Tobacco",":",""
"1995","Slovenia","Price level indices (EU28=100)","Clothing",":",""
"1995","Slovenia","Price level indices (EU28=100)","Footwear",":",""
"1995","Slovakia","Price level indices (EU28=100)","Food",":",""
"1995","Slovakia","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Slovakia","Price level indices (EU28=100)","Meat",":",""
"1995","Slovakia","Price level indices (EU28=100)","Fish",":",""
"1995","Slovakia","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Slovakia","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Slovakia","Price level indices (EU28=100)","Tobacco",":",""
"1995","Slovakia","Price level indices (EU28=100)","Clothing",":",""
"1995","Slovakia","Price level indices (EU28=100)","Footwear",":",""
"1995","Finland","Price level indices (EU28=100)","Food",":",""
"1995","Finland","Price level indices (EU28=100)","Bread and cereals",":",""
"1995","Finland","Price level indices (EU28=100)","Meat",":",""
"1995","Finland","Price level indices (EU28=100)","Fish",":",""
"1995","Finland","Price level indices (EU28=100)","Milk, cheese and eggs",":",""
"1995","Finland","Price level indices (EU28=100)","Alcoholic beverages",":",""
"1995","Finland","Price level indices (EU28=100)","Tobacco",":",""
"1995","Finland","Price level indices (EU28=100)","Clothing",":",""
"1995","Finland","Price level indices (EU28=100)","Footwear",":",""
