"Geslacht";"Persoonskenmerken";"Perioden";"Beroepsbevolking (x 1 000)";"Werkzame beroepsbevolking/Werkzame beroepsbevolking (x 1 000)";"Werkloze beroepsbevolking (x 1 000)"
"Mannen en vrouwen";"Totaal";"1960";"    4240";"    4193";"      47"
"Mannen en vrouwen";"Totaal";"1961";"    4257";"    4221";"      37"
"Mannen en vrouwen";"Totaal";"1962";"    4353";"    4316";"      37"
"Mannen en vrouwen";"Totaal";"1963";"    4428";"    4387";"      41"
"Mannen en vrouwen";"Totaal";"1964";"    4469";"    4432";"      37"
"Mannen en vrouwen";"Totaal";"1965";"    4555";"    4513";"      42"
"Mannen en vrouwen";"Totaal";"1966";"    4629";"    4572";"      56"
"Mannen en vrouwen";"Totaal";"1967";"    4642";"    4542";"     100"
"Mannen en vrouwen";"Totaal";"1968";"    4691";"    4598";"      93"
"Mannen en vrouwen";"Totaal";"1969";"    4769";"    4696";"      73"
"Mannen en vrouwen";"Totaal";"1970";"    4806";"    4739";"      67"
"Mannen en vrouwen";"Totaal";"1971";"    4858";"    4770";"      88"
"Mannen en vrouwen";"Totaal";"1972";"    4907";"    4770";"     137"
"Mannen en vrouwen";"Totaal";"1973";"    4972";"    4832";"     140"
"Mannen en vrouwen";"Totaal";"1974";"    5000";"    4834";"     166"
"Mannen en vrouwen";"Totaal";"1975";"    4998";"    4782";"     215"
"Mannen en vrouwen";"Totaal";"1976";"    5099";"    4858";"     241"
"Mannen en vrouwen";"Totaal";"1977";"    5136";"    4909";"     227"
"Mannen en vrouwen";"Totaal";"1978";"    5191";"    4954";"     236"
"Mannen en vrouwen";"Totaal";"1979";"    5301";"    5051";"     250"
"Mannen en vrouwen";"Totaal";"1980";"    5293";"    5037";"     256"
"Mannen en vrouwen";"Totaal";"1981";"    5379";"    5042";"     337"
"Mannen en vrouwen";"Totaal";"1982";"    5385";"    4914";"     471"
"Mannen en vrouwen";"Totaal";"1983";"    5458";"    4873";"     585"
"Mannen en vrouwen";"Totaal";"1984";"    5460";"    4886";"     574"
