Entity,Year,Share_of_happy
Netherlands,1973,93.0
Netherlands,1975,86.17594100000001
Netherlands,1976,90.539238
Netherlands,1977,91.69743299999999
Netherlands,1978,93.160416
Netherlands,1979,94.721405
Netherlands,1980,94.291534
Netherlands,1981,92.307693
Netherlands,1982,93.158234
Netherlands,1983,92.357574
Netherlands,1984,92.478302
Netherlands,1985,89.819702
Netherlands,1986,92.082008
Netherlands,1987,91.263374
Netherlands,1988,90.86167900000001
Netherlands,1989,93.95859499999999
Netherlands,1990,93.099991
Netherlands,1991,94.300003
Netherlands,1992,93.200005
Netherlands,1993,93.858673
Netherlands,1994,92.54924
Netherlands,1996,91.54274699999999
Netherlands,1997,92.549019
Netherlands,1998,94.638535
Netherlands,1999,94.787094
Netherlands,2000,92.638863
Netherlands,2001,94.062515
Netherlands,2002,92.770348
Netherlands,2003,90.091309
Netherlands,2004,92.170464
Netherlands,2005,95.21109799999999
Netherlands,2006,95.02179
Netherlands,2007,95.88024899999999
Netherlands,2008,96.92603299999999
Netherlands,2009,95.996002
Netherlands,2010,95.026955
Netherlands,2011,96.341576
Netherlands,2012,94.230652
Netherlands,2013,94.699905
Netherlands,2014,95.410957
Netherlands,2015,95.722267
Netherlands,2016,96.504379
