,Date,Sector,Violation_nature,People_impacted,Data_type,Sensitive_data,Incident_origin,Incident_cause,People_informed
1,2020-02,Health,Perte de la confidentialité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...)",Oui,Recipient mistake,Internal-Accidental,They_will
2,2020-02,Commerce,Perte de la confidentialité,50,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Documents officiels (Passeports, pièces d’identité, etc.)",,Publication mistake,External-Accidental,They_will
3,2020-02,Public_Administration,Perte de la confidentialité,5000,Civil-Contact,,Hacking - Malware -Phishing,External-Malicious,TBD
4,2020-02,Public_Administration,"Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité",5,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",Oui,Hacking - Malware -Phishing,Unknown,TBD
5,2020-02,Information/Communication,Perte de la confidentialité,>5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Les données concernées ne sont pas connues pour le moment",,Hacking - Malware -Phishing,External-Malicious,TBD
6,2020-02,Scientific/Specialized/Technical,Perte de la confidentialité,5,"Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Les données concernées ne sont pas connues pour le moment",,Other,External-Malicious,They_will_not
7,2020-02,Manufacturing,Perte de la confidentialité,>5000,Civil-Contact,,Other,External-Accidental,They_will_not
8,2020-02,Manufacturing,Perte de la disponibilité,50,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Les données concernées ne sont pas connues pour le moment",,Hacking - Malware -Phishing,External-Malicious,They_will
9,2020-02,Public_Administration,Perte de la confidentialité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des infractions, condamnations, mesures de sûreté",,Equipment Lost or Stolen,External-Malicious,TBD
10,2020-02,Administrative/Support_services,"Perte de la confidentialité,Perte de la disponibilité",>5000,TBD,,Hacking - Malware -Phishing,External-Malicious,They_will
11,2020-02,Information/Communication,Perte de la confidentialité,5000,Civil-Contact,,Other,Internal-Accidental,They_will
12,2020-02,Health,"Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité",5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Documents officiels (Passeports, pièces d’identité, etc.),Données de localisation",Oui,Hacking - Malware -Phishing,External-Malicious,TBD
13,2020-02,Finance/Insurance,Perte de la confidentialité,5,Civil-Contact,,Other,Other,They_will_not
14,2020-02,Manufacturing,"Perte de la confidentialité,Perte de la disponibilité",50,Contact,,Hacking - Malware -Phishing,External-Malicious,Yes
15,2020-02,Finance/Insurance,Perte de la confidentialité,5,Civil-Contact-Finance-Economic,,Recipient mistake,Internal-Accidental,TBD
16,2020-02,Administrative/Support_services,"Perte de l'intégrité,Perte de la disponibilité",>5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...)",Oui,Hacking - Malware -Phishing,Unknown,TBD
17,2020-02,Other_services,Perte de la disponibilité,5000,TBD,,Hacking - Malware -Phishing,External-Malicious,TBD
