pid,R-Precision,nDCG,rating,model
28008,0.2608695652173913,0.5339067493327214,binary,ALS
852629,0.2230769230769231,0.7541241075008264,binary,ALS
813022,0.0,0.26761841244320084,binary,ALS
740530,0.0,0.1950695117457813,binary,ALS
930048,0.15966386554621848,0.7103396281990139,binary,ALS
177369,0.0,0.19928110995665746,binary,ALS
205543,0.038461538461538464,0.4076780671623454,binary,ALS
84742,0.27450980392156865,0.6065424674225065,binary,ALS
471053,0.23076923076923078,0.6041872197808333,binary,ALS
150461,0.0,0.17681504469678316,binary,ALS
401846,0.0,0.11689632515815068,binary,ALS
537868,0.0,0.24268520882381975,binary,ALS
617170,0.35,0.7604585173366322,binary,ALS
662315,0.29411764705882354,0.7115508489575263,binary,ALS
367885,0.08955223880597014,0.4988336253575951,binary,ALS
273032,0.07547169811320754,0.4199213505134458,binary,ALS
81179,0.15384615384615385,0.6966446636196368,binary,ALS
814555,0.21153846153846154,0.6942572377973348,binary,ALS
955827,0.09836065573770492,0.46359786660262614,binary,ALS
296127,0.13636363636363635,0.5488860011726673,binary,ALS
52658,0.19318181818181818,0.63271325681309,binary,ALS
270057,0.20394736842105263,0.7550993609645915,binary,ALS
774132,0.24096385542168675,0.7582014422299117,binary,ALS
288612,0.0,0.17433738225523684,binary,ALS
857611,0.12,0.44857060012976135,binary,ALS
491731,0.013888888888888888,0.2480884396105145,binary,ALS
63279,0.3333333333333333,0.7435918382736328,binary,ALS
387847,0.0,0.2597466335181347,binary,ALS
198575,0.3,0.8348240251636871,binary,ALS
378068,0.12408759124087591,0.6759912202991603,binary,ALS
404262,0.05263157894736842,0.2698304647419355,binary,ALS
178977,0.0136986301369863,0.2879266092772762,binary,ALS
832329,0.2,0.4668092108669399,binary,ALS
532225,0.11538461538461539,0.7107350815240342,binary,ALS
561206,0.058823529411764705,0.25935273261461345,binary,ALS
141804,0.08333333333333333,0.4247438974978269,binary,ALS
975501,0.1523809523809524,0.6491537273935617,binary,ALS
198974,0.0,0.25022451914649013,binary,ALS
37962,0.0,0.2205691504932077,binary,ALS
37311,0.12244897959183673,0.5654637462419405,binary,ALS
196386,0.1728395061728395,0.6042391934563606,binary,ALS
917192,0.09815950920245399,0.5085404690413645,binary,ALS
569908,0.22321428571428573,0.7516984193178037,binary,ALS
428711,0.16,0.6351210349318159,binary,ALS
194176,0.029411764705882353,0.41392565167206097,binary,ALS
71950,0.046875,0.4292704643283256,binary,ALS
127633,0.16666666666666666,0.4275607024005772,binary,ALS
386393,0.047619047619047616,0.3097288423608084,binary,ALS
245390,0.25,0.7756800225062072,binary,ALS
22408,0.09523809523809523,0.3814624522235401,binary,ALS
345685,0.0,0.0,binary,ALS
831699,0.1271186440677966,0.5914071840409942,binary,ALS
230579,0.24444444444444444,0.6631508291240312,binary,ALS
650712,0.0,0.0,binary,ALS
249041,0.0,0.20549878497457585,binary,ALS
285441,0.2,0.4178434333978739,binary,ALS
598840,0.10227272727272728,0.6454167166254445,binary,ALS
676182,0.10256410256410256,0.48629912630492395,binary,ALS
432674,0.375,0.7540784713346657,binary,ALS
56865,0.0,0.1119358212213972,binary,ALS
935776,0.0,0.14332232775009315,binary,ALS
391016,0.14545454545454545,0.6358643571288504,binary,ALS
474595,0.32432432432432434,0.7951586581110177,binary,ALS
974959,0.0410958904109589,0.42585778615049713,binary,ALS
330996,0.08,0.35522445733072683,binary,ALS
271367,0.0,0.2598945376652709,binary,ALS
520499,0.08,0.4319649388834543,binary,ALS
771624,0.08333333333333333,0.5603468333817507,binary,ALS
932624,0.15789473684210525,0.4360608524016658,binary,ALS
427142,0.02857142857142857,0.2470675577213625,binary,ALS
815733,0.0,0.16929380759878143,binary,ALS
191036,0.08888888888888889,0.4491367326356367,binary,ALS
446714,0.0,0.0,binary,ALS
370002,0.06451612903225806,0.40242960435540287,binary,ALS
288109,0.04950495049504951,0.47325927503950843,binary,ALS
524386,0.0,0.30749842208324535,binary,ALS
256035,0.0,0.17654900912758612,binary,ALS
879938,0.37142857142857144,0.8375369089111611,binary,ALS
794869,0.22950819672131148,0.6065579387986799,binary,ALS
229325,0.2608695652173913,0.6984834819124212,binary,ALS
204076,0.0782608695652174,0.4498598234645499,binary,ALS
865890,0.30526315789473685,0.8181386849794491,binary,ALS
50539,0.0,0.24214061161732534,binary,ALS
265061,0.0,0.0,binary,ALS
694685,0.0,0.22014440082953687,binary,ALS
50970,0.18666666666666668,0.7061088094813768,binary,ALS
219942,0.041666666666666664,0.3097090303231551,binary,ALS
808338,0.0,0.2538556335524801,binary,ALS
566103,0.0,0.0,binary,ALS
909921,0.23809523809523808,0.500101337706437,binary,ALS
332666,0.0,0.3106064660000766,binary,ALS
818769,0.2553191489361702,0.7289343095159613,binary,ALS
254170,0.2,0.6626793767201288,binary,ALS
477915,0.0,0.0,binary,ALS
117176,0.0,0.17615133322356763,binary,ALS
375149,0.013157894736842105,0.3130122425916879,binary,ALS
117182,0.03225806451612903,0.30423661173708044,binary,ALS
674355,0.09090909090909091,0.3333333333333333,binary,ALS
93379,0.0,0.13607796873316694,binary,ALS
744086,0.0,0.20512182253373384,binary,ALS
925913,0.08163265306122448,0.5222143823122765,binary,ALS
400355,0.0,0.17367105526198987,binary,ALS
893392,0.048,0.35666337757465155,binary,ALS
418184,0.0,0.20350504007132125,binary,ALS
991172,0.0,0.3327179815399613,binary,ALS
562686,0.15151515151515152,0.4915328861554591,binary,ALS
306351,0.26136363636363635,0.7854277540624194,binary,ALS
627405,0.0,0.12103467930537846,binary,ALS
532608,0.8095238095238095,0.962534674159697,binary,ALS
143301,0.0,0.14240211088697471,binary,ALS
68152,0.05714285714285714,0.3246332091042474,binary,ALS
294863,0.36,0.7171118075638805,binary,ALS
888906,0.02040816326530612,0.22060675363349289,binary,ALS
214087,0.3157894736842105,0.6042964552902447,binary,ALS
273869,0.18518518518518517,0.5732732761781355,binary,ALS
893573,0.07142857142857142,0.48210375207222206,binary,ALS
444797,0.057692307692307696,0.46979382306431827,binary,ALS
922153,0.375,0.5964988286492519,binary,ALS
950,0.21212121212121213,0.7085583377010866,binary,ALS
67208,0.0,0.260437082889173,binary,ALS
580780,0.1968503937007874,0.6316236102060104,binary,ALS
36712,0.2692307692307692,0.6235153204584781,binary,ALS
466099,0.3181818181818182,0.71714036005017,binary,ALS
357795,0.0,0.18280789838417835,binary,ALS
889695,0.26229508196721313,0.6949923523629417,binary,ALS
334478,0.0,0.25027417032888066,binary,ALS
58053,0.1267605633802817,0.6381107862710146,binary,ALS
392344,0.0,0.19342640361727081,binary,ALS
768897,0.16666666666666666,0.6021246777909802,binary,ALS
54664,0.015151515151515152,0.225701149405904,binary,ALS
34835,0.23076923076923078,0.5491863839769195,binary,ALS
358959,0.0,0.0,binary,ALS
667586,0.11764705882352941,0.4755113672416597,binary,ALS
815643,0.2857142857142857,0.6471855158672524,binary,ALS
878825,0.11764705882352941,0.44911571998337446,binary,ALS
81620,0.23,0.6052217235911929,binary,ALS
868764,0.0449438202247191,0.32599872647630257,binary,ALS
900319,0.4166666666666667,0.8870987538830606,binary,ALS
826731,0.16666666666666666,0.42499147439801355,binary,ALS
546834,0.08,0.5291955609693259,binary,ALS
287038,0.0,0.14183093103510616,binary,ALS
34231,0.18181818181818182,0.6255289653935018,binary,ALS
54657,0.04950495049504951,0.3762838751330827,binary,ALS
594248,0.020202020202020204,0.3195906298553436,binary,ALS
231945,0.0,0.2849062279423002,binary,ALS
900821,0.011764705882352941,0.2514540189672622,binary,ALS
384666,0.0,0.21458165688048675,binary,ALS
792218,0.02702702702702703,0.35329244286030853,binary,ALS
956167,0.11320754716981132,0.5036960708000204,binary,ALS
654032,0.14285714285714285,0.35761802677119614,binary,ALS
269966,0.04,0.3259103753180989,binary,ALS
227726,0.06349206349206349,0.49712886992741173,binary,ALS
772359,0.23529411764705882,0.6247171854141355,binary,ALS
885268,0.0,0.0,binary,ALS
868592,0.3779527559055118,0.7934146321169167,binary,ALS
653533,0.08333333333333333,0.4482649877325468,binary,ALS
196317,0.2571428571428571,0.7545811749622761,binary,ALS
740713,0.13333333333333333,0.41782718104465694,binary,ALS
160090,0.04411764705882353,0.3845328318719939,binary,ALS
493958,0.0,0.2559580248098155,binary,ALS
402218,0.2619047619047619,0.7116988439953792,binary,ALS
774225,0.0,0.24840809086725185,binary,ALS
450684,0.39097744360902253,0.8306283968905622,binary,ALS
812848,0.2647058823529412,0.6073914703308432,binary,ALS
903085,0.0,0.3264898708324419,binary,ALS
710799,0.0,0.18888143840121802,binary,ALS
102873,0.0,0.22045865939603423,binary,ALS
654533,0.0,0.18300435219328479,binary,ALS
350083,0.03167420814479638,0.30349560885260873,binary,ALS
651520,0.0755813953488372,0.47794927510527346,binary,ALS
2831,0.038461538461538464,0.2948010822234892,binary,ALS
528755,0.16279069767441862,0.6425653284602338,binary,ALS
657459,0.047244094488188976,0.5207849791354239,binary,ALS
758011,0.25757575757575757,0.7236896974683462,binary,ALS
433384,0.25252525252525254,0.7044375104474897,binary,ALS
674949,0.10344827586206896,0.4491802904720948,binary,ALS
158614,0.0,0.0,binary,ALS
482840,0.0,0.0,binary,ALS
557414,0.10087719298245613,0.5073651595429205,binary,ALS
24399,0.16666666666666666,0.42638264234239387,binary,ALS
71318,0.2727272727272727,0.7093063674160387,binary,ALS
88995,0.19753086419753085,0.6894730339438959,binary,ALS
497790,0.20212765957446807,0.5970283124669924,binary,ALS
815567,0.2,0.5138737990277449,binary,ALS
721109,0.07692307692307693,0.3657849025766599,binary,ALS
850204,0.0,0.0,binary,ALS
284420,0.0,0.0,binary,ALS
746691,0.21052631578947367,0.5524801390633767,binary,ALS
332067,0.0,0.21296657911112907,binary,ALS
590196,0.09090909090909091,0.2887585076939047,binary,ALS
992979,0.0,0.2978633938038418,binary,ALS
759066,0.18421052631578946,0.6405731670417006,binary,ALS
346831,0.27807486631016043,0.7820913818852891,binary,ALS
516792,0.0,0.0,binary,ALS
58971,0.0,0.2528013035819749,binary,ALS
358923,0.19230769230769232,0.6113224078569477,binary,ALS
325306,0.0,0.14683990161269336,binary,ALS
192328,0.0,0.14468764422634625,binary,ALS
895721,0.24489795918367346,0.7540202930212255,binary,ALS
459540,0.16071428571428573,0.4986072763502904,binary,ALS
73962,0.2054794520547945,0.7422057698008694,binary,ALS
803998,0.11764705882352941,0.5688580812559652,binary,ALS
572889,0.18947368421052632,0.6345635271154828,binary,ALS
860595,0.06,0.3855204602737402,binary,ALS
362419,0.0,0.11370851858692282,binary,ALS
968067,0.2608695652173913,0.6807071118378711,binary,ALS
996429,0.05128205128205128,0.43339733086675425,binary,ALS
137149,0.13559322033898305,0.5458779101114507,binary,ALS
294397,0.1111111111111111,0.5443905805001334,binary,ALS
777599,0.20987654320987653,0.7273517306181974,binary,ALS
372205,0.05555555555555555,0.31745724068712466,binary,ALS
340461,0.29347826086956524,0.7406689578269187,binary,ALS
251362,0.09375,0.4945988120404666,binary,ALS
438638,0.0,0.2661677981960682,binary,ALS
62616,0.023255813953488372,0.28829912733380414,binary,ALS
499150,0.0967741935483871,0.49709599309685903,binary,ALS
438696,0.47023809523809523,0.8920685487202518,binary,ALS
393231,0.36,0.7013702334942977,binary,ALS
31100,0.0,0.12517705219431446,binary,ALS
240120,0.125,0.5115122253182424,binary,ALS
91984,0.0,0.13870677141314172,binary,ALS
973310,0.14814814814814814,0.5710064036827828,binary,ALS
672896,0.15555555555555556,0.5751221228319956,binary,ALS
658073,0.18421052631578946,0.5076154770169429,binary,ALS
153501,0.390625,0.8856401624686704,binary,ALS
269554,0.3333333333333333,0.6637916068809708,binary,ALS
645169,0.0,0.19635875957170845,binary,ALS
905223,0.026785714285714284,0.3526272531054017,binary,ALS
