pid,R-Precision,nDCG,rating,model
902831,0.0,0.0,na,CB_audio_features
160627,0.0,0.0,na,CB_audio_features
244581,0.0,0.0,na,CB_audio_features
595273,0.0,0.0,na,CB_audio_features
916140,0.0,0.0,na,CB_audio_features
502742,0.0,0.0,na,CB_audio_features
878698,0.0,0.0,na,CB_audio_features
607819,0.0,0.0,na,CB_audio_features
782459,0.0,0.0,na,CB_audio_features
762617,0.0,0.0,na,CB_audio_features
251180,0.0,0.0,na,CB_audio_features
123439,0.0,0.0,na,CB_audio_features
230188,0.0,0.0,na,CB_audio_features
624247,0.0,0.0,na,CB_audio_features
133938,0.0,0.0,na,CB_audio_features
694778,0.0,0.0,na,CB_audio_features
972031,0.0,0.0,na,CB_audio_features
734342,0.0,0.0,na,CB_audio_features
912998,0.0,0.0,na,CB_audio_features
606101,0.0,0.0,na,CB_audio_features
407742,0.0,0.0,na,CB_audio_features
578531,0.0,0.0,na,CB_audio_features
21911,0.0,0.0,na,CB_audio_features
1537,0.0,0.0,na,CB_audio_features
540120,0.0,0.0,na,CB_audio_features
749538,0.0,0.0,na,CB_audio_features
524968,0.0,0.0,na,CB_audio_features
237522,0.0,0.0,na,CB_audio_features
810734,0.0,0.0,na,CB_audio_features
568171,0.0,0.0,na,CB_audio_features
621495,0.0,0.0,na,CB_audio_features
81205,0.0,0.0,na,CB_audio_features
23559,0.0,0.0,na,CB_audio_features
915775,0.0,0.0,na,CB_audio_features
191203,0.0,0.0,na,CB_audio_features
965132,0.0,0.0,na,CB_audio_features
962788,0.0,0.0,na,CB_audio_features
198739,0.0,0.0,na,CB_audio_features
591468,0.0,0.0,na,CB_audio_features
516067,0.0,0.0,na,CB_audio_features
520411,0.0,0.0,na,CB_audio_features
815426,0.0,0.0,na,CB_audio_features
962690,0.0,0.0,na,CB_audio_features
123934,0.0,0.0,na,CB_audio_features
549211,0.0,0.0,na,CB_audio_features
641365,0.0,0.0,na,CB_audio_features
682175,0.0,0.0,na,CB_audio_features
142146,0.0,0.0,na,CB_audio_features
199907,0.0,0.0,na,CB_audio_features
235468,0.0,0.0,na,CB_audio_features
794804,0.0,0.0,na,CB_audio_features
268204,0.0,0.0,na,CB_audio_features
48002,0.0,0.0,na,CB_audio_features
803347,0.0,0.0,na,CB_audio_features
653698,0.0,0.0,na,CB_audio_features
196150,0.0,0.0,na,CB_audio_features
754455,0.0,0.0,na,CB_audio_features
250428,0.0,0.0,na,CB_audio_features
31487,0.0,0.0,na,CB_audio_features
351478,0.0,0.0,na,CB_audio_features
202433,0.0,0.0,na,CB_audio_features
459002,0.0,0.0,na,CB_audio_features
896497,0.0,0.0,na,CB_audio_features
523347,0.0,0.0,na,CB_audio_features
181185,0.0,0.0,na,CB_audio_features
255562,0.0,0.0,na,CB_audio_features
96170,0.0,0.0,na,CB_audio_features
717411,0.0,0.0,na,CB_audio_features
374971,0.0,0.0,na,CB_audio_features
21576,0.0,0.0,na,CB_audio_features
837970,0.0,0.0,na,CB_audio_features
543268,0.0,0.0,na,CB_audio_features
818250,0.0,0.0,na,CB_audio_features
398088,0.0,0.0,na,CB_audio_features
511908,0.0,0.0,na,CB_audio_features
717405,0.0,0.0,na,CB_audio_features
310443,0.0,0.0,na,CB_audio_features
924217,0.0,0.0,na,CB_audio_features
83532,0.0,0.0,na,CB_audio_features
352585,0.0,0.0,na,CB_audio_features
540853,0.0,0.0,na,CB_audio_features
247195,0.0,0.0,na,CB_audio_features
525786,0.0,0.0,na,CB_audio_features
525491,0.0,0.0,na,CB_audio_features
252388,0.0,0.0,na,CB_audio_features
715591,0.0,0.0,na,CB_audio_features
607703,0.0,0.0,na,CB_audio_features
850151,0.0,0.0,na,CB_audio_features
684649,0.0,0.0,na,CB_audio_features
547134,0.0,0.0,na,CB_audio_features
618782,0.0,0.0,na,CB_audio_features
1311,0.0,0.0,na,CB_audio_features
416854,0.0,0.0,na,CB_audio_features
221042,0.0,0.0,na,CB_audio_features
830546,0.0,0.0,na,CB_audio_features
780876,0.0,0.0,na,CB_audio_features
