parent_model,rating,seed_track_order,R-Precision,nDCG
ALS,binary,first n,0.0913145139027468,0.39557645738648517
ALS,binary,random n,0.11719814807336693,0.43899182254175684
ALS,pos,first n,0.0992983752696004,0.4192665858043382
ALS,pos,random n,0.12458850212445093,0.46340179725642716
CB,na,first n,0.0,0.001483012650327148
CB,na,random n,0.0,0.0013849344731256207
SVD,binary,first n,0.09411002822190359,0.392728396023507
SVD,binary,random n,0.12176250189060137,0.44059847452022793
SVD,pos,first n,0.09116782724258608,0.3889278789566014
SVD,pos,random n,0.11356026663066868,0.4288415477372888
